id,label,predict_result,predict_score,predict_detail,type
0,1,1,0.9991223634344212,{'0': 0.000877636565578821, '1': 0.9991223634344212},predict
2,1,1,0.9453723356257128,{'0': 0.05462766437428723, '1': 0.9453723356257128},predict
3,1,0,0.3321226014771632,{'0': 0.6678773985228368, '1': 0.3321226014771632},predict
4,1,0,0.19180199729852043,{'0': 0.8081980027014796, '1': 0.19180199729852043},predict
5,1,1,0.998326819077712,{'0': 0.0016731809222879646, '1': 0.998326819077712},predict
7,1,1,0.9868907998759106,{'0': 0.013109200124089448, '1': 0.9868907998759106},predict
10,0,1,0.627720136881799,{'0': 0.37227986311820105, '1': 0.627720136881799},predict
15,0,0,0.0039718308027126385,{'0': 0.9960281691972873, '1': 0.0039718308027126385},predict
17,1,1,0.9720040577047961,{'0': 0.027995942295203857, '1': 0.9720040577047961},predict
18,0,0,0.012785615934772464,{'0': 0.9872143840652275, '1': 0.012785615934772464},predict
20,1,1,0.7696371856055245,{'0': 0.23036281439447548, '1': 0.7696371856055245},predict
26,0,0,0.014152881531477913,{'0': 0.9858471184685221, '1': 0.014152881531477913},predict
27,0,0,0.02759348382671731,{'0': 0.9724065161732827, '1': 0.02759348382671731},predict
28,0,0,0.017495208978320135,{'0': 0.9825047910216799, '1': 0.017495208978320135},predict
31,0,1,0.6630947518485469,{'0': 0.33690524815145306, '1': 0.6630947518485469},predict
38,1,1,0.6819984551548366,{'0': 0.3180015448451634, '1': 0.6819984551548366},predict
44,1,1,0.6391658571146273,{'0': 0.36083414288537274, '1': 0.6391658571146273},predict
48,0,0,0.29444853493259326,{'0': 0.7055514650674067, '1': 0.29444853493259326},predict
57,1,1,0.9526213479905886,{'0': 0.04737865200941138, '1': 0.9526213479905886},predict
61,1,1,0.9996903028087688,{'0': 0.0003096971912311952, '1': 0.9996903028087688},predict
70,1,0,0.08835204247595699,{'0': 0.911647957524043, '1': 0.08835204247595699},predict
72,1,1,0.9986505566430068,{'0': 0.001349443356993163, '1': 0.9986505566430068},predict
74,1,1,0.9565457074787251,{'0': 0.04345429252127486, '1': 0.9565457074787251},predict
77,1,1,0.9812528374446078,{'0': 0.018747162555392216, '1': 0.9812528374446078},predict
78,0,0,0.007692709688573503,{'0': 0.9923072903114265, '1': 0.007692709688573503},predict
80,1,1,0.9977222511970673,{'0': 0.002277748802932744, '1': 0.9977222511970673},predict
