id,label,predict_result,predict_score,predict_detail,type
0,0,0,0.34128786816467294,{'0': 0.6587121318353271, '1': 0.34128786816467294},predict
2,0,0,0.1576145132371687,{'0': 0.8423854867628313, '1': 0.1576145132371687},predict
3,0,0,0.44254208113310173,{'0': 0.5574579188668982, '1': 0.44254208113310173},predict
7,1,1,0.9694541862956192,{'0': 0.03054581370438081, '1': 0.9694541862956192},predict
8,0,0,0.11292907306928086,{'0': 0.8870709269307191, '1': 0.11292907306928086},predict
10,0,0,0.07687349064471449,{'0': 0.9231265093552855, '1': 0.07687349064471449},predict
11,0,0,0.10043081832993153,{'0': 0.8995691816700685, '1': 0.10043081832993153},predict
17,1,1,0.7745290733847159,{'0': 0.22547092661528412, '1': 0.7745290733847159},predict
18,0,1,0.9206239786050393,{'0': 0.0793760213949607, '1': 0.9206239786050393},predict
20,0,0,0.049004050611192305,{'0': 0.9509959493888077, '1': 0.049004050611192305},predict
25,0,0,0.04144802855862211,{'0': 0.9585519714413779, '1': 0.04144802855862211},predict
26,0,0,0.1720103681554148,{'0': 0.8279896318445852, '1': 0.1720103681554148},predict
27,0,0,0.12817951373865005,{'0': 0.8718204862613499, '1': 0.12817951373865005},predict
28,1,0,0.20226938810136202,{'0': 0.797730611898638, '1': 0.20226938810136202},predict
30,1,1,0.8157949150878665,{'0': 0.1842050849121335, '1': 0.8157949150878665},predict
34,0,0,0.02254737137571899,{'0': 0.9774526286242811, '1': 0.02254737137571899},predict
68,0,1,0.5321737914041003,{'0': 0.46782620859589974, '1': 0.5321737914041003},predict
69,0,0,0.04417461367562068,{'0': 0.9558253863243793, '1': 0.04417461367562068},predict
72,0,0,0.462364201883788,{'0': 0.537635798116212, '1': 0.462364201883788},predict
74,0,0,0.15875288279595556,{'0': 0.8412471172040444, '1': 0.15875288279595556},predict
78,0,0,0.4506881370571027,{'0': 0.5493118629428972, '1': 0.4506881370571027},predict
86,0,0,0.060374833831926066,{'0': 0.9396251661680739, '1': 0.060374833831926066},predict
91,0,0,0.1392217102146888,{'0': 0.8607782897853112, '1': 0.1392217102146888},predict
95,0,0,0.007438637217608921,{'0': 0.992561362782391, '1': 0.007438637217608921},predict
99,0,0,0.0018747945407554167,{'0': 0.9981252054592445, '1': 0.0018747945407554167},predict
101,0,0,0.009969239248221984,{'0': 0.990030760751778, '1': 0.009969239248221984},predict
102,1,1,0.9454397904143627,{'0': 0.05456020958563734, '1': 0.9454397904143627},predict
111,0,0,0.015550108398370462,{'0': 0.9844498916016295, '1': 0.015550108398370462},predict
112,0,1,0.816707187756776,{'0': 0.18329281224322402, '1': 0.816707187756776},predict
116,1,1,0.9407956330385348,{'0': 0.05920436696146525, '1': 0.9407956330385348},predict
123,0,0,0.04191707444830252,{'0': 0.9580829255516975, '1': 0.04191707444830252},predict
124,0,0,0.1616417803583596,{'0': 0.8383582196416404, '1': 0.1616417803583596},predict
125,0,1,0.7535515502208731,{'0': 0.24644844977912694, '1': 0.7535515502208731},predict
130,0,0,0.11585341921606056,{'0': 0.8841465807839395, '1': 0.11585341921606056},predict
131,0,0,0.006254075258806847,{'0': 0.9937459247411932, '1': 0.006254075258806847},predict
133,1,1,0.9606012780738482,{'0': 0.03939872192615179, '1': 0.9606012780738482},predict
134,0,0,0.23152252446897215,{'0': 0.7684774755310279, '1': 0.23152252446897215},predict
135,0,0,0.38806797391343645,{'0': 0.6119320260865635, '1': 0.38806797391343645},predict
136,1,0,0.06858485502305839,{'0': 0.9314151449769417, '1': 0.06858485502305839},predict
140,0,0,0.46667949507774087,{'0': 0.5333205049222591, '1': 0.46667949507774087},predict
146,0,0,0.07376706702755549,{'0': 0.9262329329724445, '1': 0.07376706702755549},predict
147,0,0,0.18768377085437057,{'0': 0.8123162291456294, '1': 0.18768377085437057},predict
148,0,0,0.001969729851388608,{'0': 0.9980302701486113, '1': 0.001969729851388608},predict
150,0,0,0.003883316491145616,{'0': 0.9961166835088544, '1': 0.003883316491145616},predict
151,1,1,0.8383127124314222,{'0': 0.16168728756857775, '1': 0.8383127124314222},predict
157,0,0,0.12541084188332866,{'0': 0.8745891581166714, '1': 0.12541084188332866},predict
159,0,1,0.924050589710002,{'0': 0.07594941028999802, '1': 0.924050589710002},predict
160,1,1,0.563790259730433,{'0': 0.43620974026956705, '1': 0.563790259730433},predict
164,0,1,0.585926315565303,{'0': 0.41407368443469705, '1': 0.585926315565303},predict
