id,label,predict_result,predict_score,predict_detail,type
0,0,0,0.0014871236724132647,{'0': 0.9985128763275868, '1': 0.0014871236724132647},predict
1,1,1,0.9984079251327606,{'0': 0.0015920748672394458, '1': 0.9984079251327606},predict
4,0,0,0.0014871236724132647,{'0': 0.9985128763275868, '1': 0.0014871236724132647},predict
8,1,1,0.9983393648128978,{'0': 0.001660635187102244, '1': 0.9983393648128978},predict
10,1,1,0.9984079251327606,{'0': 0.0015920748672394458, '1': 0.9984079251327606},predict
13,0,0,0.0014871236724132647,{'0': 0.9985128763275868, '1': 0.0014871236724132647},predict
18,1,1,0.9984079251327606,{'0': 0.0015920748672394458, '1': 0.9984079251327606},predict
19,1,1,0.970890654018063,{'0': 0.02910934598193704, '1': 0.970890654018063},predict
21,0,0,0.0016021851780745832,{'0': 0.9983978148219255, '1': 0.0016021851780745832},predict
27,0,0,0.0014871236724132647,{'0': 0.9985128763275868, '1': 0.0014871236724132647},predict
30,1,1,0.9901750097527029,{'0': 0.009824990247297105, '1': 0.9901750097527029},predict
34,1,1,0.7295176418122907,{'0': 0.27048235818770927, '1': 0.7295176418122907},predict
40,1,1,0.9837999017006155,{'0': 0.016200098299384513, '1': 0.9837999017006155},predict
44,0,0,0.08471877451281362,{'0': 0.9152812254871864, '1': 0.08471877451281362},predict
47,0,0,0.001847872503867318,{'0': 0.9981521274961327, '1': 0.001847872503867318},predict
