id,label,predict_result,predict_score,predict_detail,type
2,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
3,0,0,0.006973227194286658,{'0': 0.9930267728057134, '1': 0.006973227194286658},predict
4,0,0,0.0010011926770511798,{'0': 0.9989988073229488, '1': 0.0010011926770511798},predict
5,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
6,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
7,0,0,0.004130131317348213,{'0': 0.9958698686826518, '1': 0.004130131317348213},predict
10,0,0,0.0008849655379614019,{'0': 0.9991150344620386, '1': 0.0008849655379614019},predict
11,0,0,0.0007235091218455542,{'0': 0.9992764908781544, '1': 0.0007235091218455542},predict
15,0,0,0.0007570706297175511,{'0': 0.9992429293702825, '1': 0.0007570706297175511},predict
18,0,0,0.004130131317348213,{'0': 0.9958698686826518, '1': 0.004130131317348213},predict
21,0,0,0.0007570706297175511,{'0': 0.9992429293702825, '1': 0.0007570706297175511},predict
23,0,0,0.011043383574597401,{'0': 0.9889566164254026, '1': 0.011043383574597401},predict
25,0,0,0.0008739846918314426,{'0': 0.9991260153081686, '1': 0.0008739846918314426},predict
26,0,0,0.004446026726204403,{'0': 0.9955539732737956, '1': 0.004446026726204403},predict
27,0,0,0.0006689789519639826,{'0': 0.9993310210480361, '1': 0.0006689789519639826},predict
30,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
31,0,0,0.0008194094304810225,{'0': 0.999180590569519, '1': 0.0008194094304810225},predict
42,0,0,0.0007021246671714457,{'0': 0.9992978753328285, '1': 0.0007021246671714457},predict
52,0,0,0.0007570706297175511,{'0': 0.9992429293702825, '1': 0.0007570706297175511},predict
57,0,0,0.0005796429180429775,{'0': 0.999420357081957, '1': 0.0005796429180429775},predict
58,0,0,0.0006885538300831075,{'0': 0.9993114461699169, '1': 0.0006885538300831075},predict
60,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
61,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
62,0,0,0.004130131317348213,{'0': 0.9958698686826518, '1': 0.004130131317348213},predict
63,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
66,0,0,0.0022831197509237473,{'0': 0.9977168802490762, '1': 0.0022831197509237473},predict
67,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
70,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
72,0,0,0.001635349130485057,{'0': 0.998364650869515, '1': 0.001635349130485057},predict
76,0,0,0.0007570706297175511,{'0': 0.9992429293702825, '1': 0.0007570706297175511},predict
77,0,0,0.0006087362428616987,{'0': 0.9993912637571383, '1': 0.0006087362428616987},predict
80,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
84,0,0,0.01011471648414826,{'0': 0.9898852835158517, '1': 0.01011471648414826},predict
86,0,0,0.0008739846918314426,{'0': 0.9991260153081686, '1': 0.0008739846918314426},predict
87,0,0,0.21229740685283194,{'0': 0.7877025931471681, '1': 0.21229740685283194},predict
89,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
91,0,0,0.0010387956054055524,{'0': 0.9989612043945945, '1': 0.0010387956054055524},predict
92,0,0,0.0008248023487419076,{'0': 0.9991751976512581, '1': 0.0008248023487419076},predict
95,0,0,0.0008472122586925079,{'0': 0.9991527877413074, '1': 0.0008472122586925079},predict
96,0,0,0.0006432074804931703,{'0': 0.9993567925195068, '1': 0.0006432074804931703},predict
99,0,0,0.0008035755562237739,{'0': 0.9991964244437762, '1': 0.0008035755562237739},predict
100,0,0,0.0005880150133391076,{'0': 0.9994119849866608, '1': 0.0005880150133391076},predict
101,0,0,0.0007021246671714457,{'0': 0.9992978753328285, '1': 0.0007021246671714457},predict
104,0,0,0.0011815206683648157,{'0': 0.9988184793316351, '1': 0.0011815206683648157},predict
118,0,0,0.0009488078369124128,{'0': 0.9990511921630876, '1': 0.0009488078369124128},predict
124,0,0,0.0006967027271057882,{'0': 0.9993032972728942, '1': 0.0006967027271057882},predict
130,0,0,0.001627040538444667,{'0': 0.9983729594615554, '1': 0.001627040538444667},predict
134,0,0,0.004138428828445748,{'0': 0.9958615711715543, '1': 0.004138428828445748},predict
136,0,0,0.0007235091218455542,{'0': 0.9992764908781544, '1': 0.0007235091218455542},predict
138,0,0,0.00831596294993623,{'0': 0.9916840370500638, '1': 0.00831596294993623},predict
139,0,0,0.0008963711245186833,{'0': 0.9991036288754813, '1': 0.0008963711245186833},predict
140,0,0,0.0006689789519639826,{'0': 0.9993310210480361, '1': 0.0006689789519639826},predict
141,0,0,0.0007570706297175511,{'0': 0.9992429293702825, '1': 0.0007570706297175511},predict
143,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
144,0,0,0.0012924490765451949,{'0': 0.9987075509234548, '1': 0.0012924490765451949},predict
146,0,0,0.012986939051056266,{'0': 0.9870130609489437, '1': 0.012986939051056266},predict
160,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
162,0,0,0.0011846922617534767,{'0': 0.9988153077382466, '1': 0.0011846922617534767},predict
164,0,0,0.0005249760303461264,{'0': 0.9994750239696538, '1': 0.0005249760303461264},predict
166,0,0,0.0007570706297175511,{'0': 0.9992429293702825, '1': 0.0007570706297175511},predict
