id,label,predict_result,predict_score,predict_detail,type
8,1,1,0.9950196825817879,{'0': 0.0049803174182121435, '1': 0.9950196825817879},predict
10,1,1,0.9947410726674075,{'0': 0.005258927332592478, '1': 0.9947410726674075},predict
13,0,0,0.0007107039374127438,{'0': 0.9992892960625872, '1': 0.0007107039374127438},predict
15,0,0,0.001162213086240733,{'0': 0.9988377869137592, '1': 0.001162213086240733},predict
17,0,1,0.7221295817785855,{'0': 0.27787041822141445, '1': 0.7221295817785855},predict
19,1,1,0.924125204717784,{'0': 0.07587479528221597, '1': 0.924125204717784},predict
26,0,0,0.011047227160745209,{'0': 0.9889527728392548, '1': 0.011047227160745209},predict
28,0,1,0.8228213347478388,{'0': 0.1771786652521612, '1': 0.8228213347478388},predict
30,1,1,0.9776099929545355,{'0': 0.022390007045464455, '1': 0.9776099929545355},predict
31,0,0,0.04544165623351239,{'0': 0.9545583437664876, '1': 0.04544165623351239},predict
33,0,0,0.0005883896417893605,{'0': 0.9994116103582107, '1': 0.0005883896417893605},predict
34,0,0,0.23834777181437347,{'0': 0.7616522281856265, '1': 0.23834777181437347},predict
36,0,0,0.004584167583457991,{'0': 0.995415832416542, '1': 0.004584167583457991},predict
42,1,1,0.9961787745173588,{'0': 0.0038212254826411884, '1': 0.9961787745173588},predict
50,0,0,0.002102195480023638,{'0': 0.9978978045199763, '1': 0.002102195480023638},predict
51,1,0,0.007310132896796021,{'0': 0.992689867103204, '1': 0.007310132896796021},predict
52,1,1,0.9030760304957626,{'0': 0.09692396950423743, '1': 0.9030760304957626},predict
58,0,0,0.004039225193667407,{'0': 0.9959607748063326, '1': 0.004039225193667407},predict
59,0,1,0.5336418397798485,{'0': 0.46635816022015153, '1': 0.5336418397798485},predict
60,0,0,0.007904291697828913,{'0': 0.9920957083021711, '1': 0.007904291697828913},predict
65,1,1,0.6124554504123654,{'0': 0.3875445495876346, '1': 0.6124554504123654},predict
68,0,0,0.2609595128940205,{'0': 0.7390404871059795, '1': 0.2609595128940205},predict
72,1,1,0.9754167138226266,{'0': 0.024583286177373376, '1': 0.9754167138226266},predict
77,0,0,0.004936133236912259,{'0': 0.9950638667630878, '1': 0.004936133236912259},predict
81,0,0,0.007428867990181849,{'0': 0.9925711320098182, '1': 0.007428867990181849},predict
92,1,1,0.9406510147328209,{'0': 0.05934898526717913, '1': 0.9406510147328209},predict
94,1,1,0.9753233545103382,{'0': 0.024676645489661753, '1': 0.9753233545103382},predict
95,1,1,0.9852705645410043,{'0': 0.014729435458995743, '1': 0.9852705645410043},predict
98,1,1,0.9970667218435032,{'0': 0.002933278156496799, '1': 0.9970667218435032},predict
99,1,1,0.9986487028881128,{'0': 0.0013512971118871953, '1': 0.9986487028881128},predict
103,1,1,0.9986421547324176,{'0': 0.0013578452675824249, '1': 0.9986421547324176},predict
110,1,1,0.8531439666205115,{'0': 0.1468560333794885, '1': 0.8531439666205115},predict
111,1,1,0.9961324004081888,{'0': 0.003867599591811155, '1': 0.9961324004081888},predict
115,1,1,0.8649090430550098,{'0': 0.13509095694499018, '1': 0.8649090430550098},predict
117,1,1,0.972808718573177,{'0': 0.027191281426823033, '1': 0.972808718573177},predict
120,1,1,0.8165210985411028,{'0': 0.18347890145889723, '1': 0.8165210985411028},predict
121,1,1,0.9988752539177571,{'0': 0.001124746082242889, '1': 0.9988752539177571},predict
123,1,1,0.9973714119059313,{'0': 0.00262858809406874, '1': 0.9973714119059313},predict
