id,label,predict_result,predict_score,predict_detail,type
0,1,0,0.05160610636652303,{'0': 0.9483938936334769, '1': 0.05160610636652303},predict
1,1,1,0.7370340112930911,{'0': 0.2629659887069089, '1': 0.7370340112930911},predict
2,1,1,0.8696620283124774,{'0': 0.1303379716875226, '1': 0.8696620283124774},predict
3,1,0,0.10384973073534105,{'0': 0.8961502692646589, '1': 0.10384973073534105},predict
4,1,1,0.9800502441264314,{'0': 0.01994975587356862, '1': 0.9800502441264314},predict
5,1,1,0.9567098627086037,{'0': 0.0432901372913963, '1': 0.9567098627086037},predict
6,0,0,0.04662841241930507,{'0': 0.953371587580695, '1': 0.04662841241930507},predict
7,1,1,0.7253085001487257,{'0': 0.2746914998512743, '1': 0.7253085001487257},predict
8,0,0,0.14887369476973952,{'0': 0.8511263052302604, '1': 0.14887369476973952},predict
9,1,0,0.3314264231387793,{'0': 0.6685735768612207, '1': 0.3314264231387793},predict
10,0,0,0.02415108494508191,{'0': 0.9758489150549181, '1': 0.02415108494508191},predict
11,0,0,0.28059187499628446,{'0': 0.7194081250037155, '1': 0.28059187499628446},predict
12,1,0,0.009004826223869802,{'0': 0.9909951737761302, '1': 0.009004826223869802},predict
13,1,1,0.8194981014553957,{'0': 0.1805018985446043, '1': 0.8194981014553957},predict
14,1,1,0.9844878204265687,{'0': 0.015512179573431317, '1': 0.9844878204265687},predict
15,0,0,0.021629385094274128,{'0': 0.9783706149057259, '1': 0.021629385094274128},predict
16,1,1,0.748813332405364,{'0': 0.25118666759463604, '1': 0.748813332405364},predict
17,0,0,0.06458250137523158,{'0': 0.9354174986247684, '1': 0.06458250137523158},predict
18,1,0,0.02554119966500953,{'0': 0.9744588003349904, '1': 0.02554119966500953},predict
19,1,1,0.6755495407695559,{'0': 0.32445045923044413, '1': 0.6755495407695559},predict
20,1,1,0.992617110108173,{'0': 0.007382889891827005, '1': 0.992617110108173},predict
21,1,1,0.9936499359070491,{'0': 0.006350064092950913, '1': 0.9936499359070491},predict
22,0,0,0.06913168494674388,{'0': 0.9308683150532562, '1': 0.06913168494674388},predict
23,1,0,0.46843912516434494,{'0': 0.5315608748356551, '1': 0.46843912516434494},predict
24,0,1,0.9674137113647763,{'0': 0.032586288635223726, '1': 0.9674137113647763},predict
25,0,0,0.4261851641813607,{'0': 0.5738148358186392, '1': 0.4261851641813607},predict
26,0,0,0.03223396817322665,{'0': 0.9677660318267733, '1': 0.03223396817322665},predict
27,1,1,0.9903059099495549,{'0': 0.009694090050445081, '1': 0.9903059099495549},predict
28,1,0,0.34793428403333093,{'0': 0.6520657159666691, '1': 0.34793428403333093},predict
29,0,0,0.22220899679933243,{'0': 0.7777910032006676, '1': 0.22220899679933243},predict
30,1,1,0.643226240892253,{'0': 0.356773759107747, '1': 0.643226240892253},predict
31,1,0,0.06674440998580435,{'0': 0.9332555900141957, '1': 0.06674440998580435},predict
32,1,0,0.38802467282011693,{'0': 0.6119753271798831, '1': 0.38802467282011693},predict
33,1,1,0.9879318107579423,{'0': 0.012068189242057659, '1': 0.9879318107579423},predict
34,0,0,0.4913748857039782,{'0': 0.5086251142960219, '1': 0.4913748857039782},predict
35,1,1,0.9774640845565186,{'0': 0.022535915443481436, '1': 0.9774640845565186},predict
36,1,0,0.0007498524548267945,{'0': 0.9992501475451732, '1': 0.0007498524548267945},predict
37,1,0,0.05311149270019322,{'0': 0.9468885072998068, '1': 0.05311149270019322},predict
